original_title,director,cast,production_companies,genres,keywords,runtime,release_date,release_year,budget,budget_adj,revenue,revenue_adj,vote_count,vote_average,popularity,has_homepage
Christmas Eve,Mitch Davis,Patrick Stewart|Cheryl Hines|Gary Cole|Jon Heder|James Roday,Unstuck,Romance|Comedy,photographer|surgeon|orchestra|doctor|car accident,95,2015-12-04,2015,0,0,0,0,11,5.8,0.30591599999999997,True
Chi-Raq,Spike Lee,Teyonah Parris|Nick Cannon|Angela Bassett|Jennifer Hudson|Samuel L. Jackson,40 Acres & A Mule Filmworks|Amazon Studios,Music|Drama|Crime|Comedy,chicago,127,2015-12-04,2015,0,0,0,0,33,5.9,0.470124,False
Sunset Song,Terence Davies,Peter Mullan|Agyness Deyn|Kevin Guthrie|Hugh Ross|Douglas Rankine,Iris productions|Hurricane Films|SellOutPictures,Drama,,135,2015-12-04,2015,0,0,0,0,19,7.1,0.42178999999999994,False
Point Break,Ericson Core,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,Action|Crime|Thriller,undercover|undercover agent|extreme sports|fbi agent|3d,114,2015-12-03,2015,105000000,96599957,133718711,123021159,505,5.5,2.6144990000000004,True
A Christmas Detour,Ron Oliver,Candace Cameron Bure|Paul Greene|Sarah Strange|David Lewis|Marcus Rosner,,Comedy|TV Movie|Romance,,84,2015-12-01,2015,0,0,0,0,19,7.0,0.231337,True
Bad Roomies,Jason Schnell,Patrick Renna|Tommy Savas|Annie Monroe|Jackie Tohn|Page Kennedy,Eastside Films,Comedy,,93,2015-12-01,2015,0,0,0,0,16,5.1,0.239558,True
Submerged,Steven C. Miller,Jonathan Bennett|Talulah Riley|Tim Daly|Mario Van Peebles|Cody Christian,Twisted Pictures,Thriller|Drama,,99,2015-11-27,2015,0,0,0,0,11,4.6,0.0552419999999999,False
Crown for Christmas,Alex Zamm,Danica McKellar|Rupert Penry-Jones|Ellie Botterill|Pavel Douglas|Colin McFarlane,,TV Movie,,84,2015-11-27,2015,0,0,0,0,10,7.6,0.47634099999999996,False
The Danish Girl,Tom Hooper,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,Drama,paris|denmark|copenhagen|artist|art,120,2015-11-27,2015,15000000,13799993,64191523,59056175,867,7.3,2.557859,False
"Hello, My Name Is Doris",Michael Showalter,Sally Field|Max Greenfield|Beth Behrs|Stephen Root|Natasha Lyonne,Red Crown Productions|Haven Entertainment,Comedy|Drama|Romance,dating|middle age,95,2015-11-27,2015,1000000,919999,14444999,13289393,87,6.6,0.6737920000000001,True
Krampus,Michael Dougherty,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,Universal Pictures|Legendary Pictures,Horror|Comedy|Fantasy,fire|winter|santa claus|snow storm|christmas tree,98,2015-11-26,2015,15000000,13799993,61548707,56624785,342,5.9,1.448002,True
12 Gifts of Christmas,Peter Sullivan,Katrina Law|Donna Mills|Aaron O'Connell|Melanie Nelson,,Family|TV Movie,christmas,84,2015-11-26,2015,0,0,0,0,12,6.3,0.417191,False
A Bigger Splash,Luca Guadagnino,Tilda Swinton|Matthias Schoenaerts|Ralph Fiennes|Dakota Johnson|Aurore ClÃ©ment,StudioCanal|Ministero per i Beni e le AttivitÃ  Culturali (MiBAC)|Frenesy Film Company|Sensi Contemporanei Cinema e Audiovisivo|Cota Film,Crime|Drama|Mystery|Thriller,italy|fish|rock star|vacation|rock concert,120,2015-11-26,2015,0,0,1936524,1781601,69,5.8,0.9384319999999999,False
Creed,Ryan Coogler,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,Drama,underdog|sport|spin off|underground fighting|motivational speaker,133,2015-11-25,2015,35000000,32199985,137935567,126900665,1171,7.3,2.3315669999999997,True
Sanjay's Super Team,Sanjay Patel,,Pixar Animation Studios,Animation,,7,2015-11-25,2015,0,0,0,0,47,6.9,0.422901,False
The Lion Guard: Return of the Roar,Howy Parkins,Max Charles|Jeff Bennett|Dusan Brown|Sarah Hyland|James Earl Jones,Walt Disney Television Animation,Family|TV Movie|Animation,,44,2015-11-22,2015,0,0,0,0,48,5.9,0.250209,False
The Night Before,Jonathan Levine,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Sony Pictures|Point Grey Pictures|Good Universe,Comedy,male friendship|new york city|drug|christmas eve|childhood friend,100,2015-11-20,2015,25000000,22999989,52395996,48204295,363,6.1,2.096273,True
Criminal Activities,Jackie Earle Haley,Dan Stevens|John Travolta|Michael Pitt|Jackie Earle Haley|Travis Aaron Wade,NeeNee Productions|Capacity Pictures|May Day Movies,Thriller|Crime|Drama,mobster|money problems|borrow|trouble|classmates,94,2015-11-20,2015,7000000,6439997,0,0,67,5.9,0.560743999999999,False
Carol,Todd Haynes,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Killer Films|Film4|Number 9 Films,Romance|Drama,gay|new york|female nudity|chicago|sex,118,2015-11-20,2015,11800000,10855995,40272135,37050347,562,7.1,2.883233,True
In the Heart of the Sea,Ron Howard,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,Thriller|Drama|Adventure|Action|History,suicide|ocean|sea|hunger|shipwreck,122,2015-11-20,2015,100000000,91999959,93820758,86315059,805,6.4,2.345821,True
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,War|Adventure|Science Fiction,revolution|strong woman|dystopia|game of death|3d,136,2015-11-18,2015,160000000,147199935,650523427,598481289,2380,6.5,5.476958,True
Christmas Incorporated,Jonathan Wright,Shenae Grimes|Steve Lund|Ron Lea|Hannah Spearritt|Jane Moffat,,Drama|TV Movie,mistaken identity|coworker relationship|toy factory|christmas,84,2015-11-15,2015,0,0,0,0,13,6.9,0.059942999999999996,True
The Good Dinosaur,Peter Sohn,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,Adventure|Animation|Comedy|Family|Fantasy,tyrannosaurus rex|friends|animation|alternate history|dinosaur,93,2015-11-14,2015,175000000,160999929,331926147,305371920,1087,6.6,3.3391349999999997,True
Heist,Scott Mann,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,Crime|Action|Thriller,casino|robbery|bus hijacking|heist,93,2015-11-13,2015,8900000,8187996,50136,46125,233,5.4,1.449072,False
My All American,Angelo Pizzo,Aaron Eckhart|Finn Wittrock|Robin Tunney|Sarah Bolger|Michael Reilly Burke,Paul Schiff Productions|Anthem Productions,Drama,american football|biography|sport|championship,118,2015-11-13,2015,20000000,18399991,0,0,19,6.9,0.26171700000000003,True
The Funhouse Massacre,Andy Palmer,Robert Englund|Clint Howard|Courtney Gains,,Comedy|Horror,,90,2015-11-13,2015,0,0,0,0,13,6.1,0.170743,False
The Lady in the Van,Nicholas Hytner,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,BBC Films|TriStar Productions,Comedy|Drama,based on novel|biography|based on true story,104,2015-11-13,2015,6000000,5519997,41387687,38076655,135,5.9,1.142518,True
John Mulaney: The Comeback Kid,Rhys Thomas,John Mulaney,3 Arts Entertainment|Irwin Entertainment,Comedy,stand up comedy,62,2015-11-13,2015,0,0,0,0,19,6.7,0.01705,False
Condemned,Eli Morgan Gesner,Johnny Messner|Michael DeMello|Jordan Gelber|Tuffy Questell|Kevin Smith Kirkwood,Caliber Media Company,Horror,,83,2015-11-13,2015,0,0,0,0,16,3.7,0.272995,False
By the Sea,Angelina Jolie,Angelina Jolie|Brad Pitt|MÃ©lanie Laurent|Melvil Poupaud|Niels Arestrup,Plan B Entertainment|Jolie Pas|Pellikola,Drama|Romance,france|hotel|1970s|grief|travel,122,2015-11-12,2015,10000000,9199995,3334927,3068131,82,5.4,0.524315,False
Concussion,Peter Landesman,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,Drama,american football|biography|professional sports|sports injury|nfl,123,2015-11-12,2015,35000000,32199985,48623572,44733666,500,6.9,2.121884,True
Love the Coopers,Jessie Nelson,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Imagine Entertainment|Groundswell Productions|CBS Films,Family|Comedy,big family|family relationships|family|woman director|christmas,107,2015-11-12,2015,17000000,15639993,24000000,22079990,111,5.3,2.055572,True
The Outfield,Michael Goldfine,Cameron Dallas|Hamilton Nash Grier|Olivia Stuck|Joey Bragg|Caroline Sunshine,,Drama|Comedy,,0,2015-11-10,2015,0,0,0,0,20,6.6,0.026797,False
Victor Frankenstein,Paul McGuigan,James McAvoy|Daniel Radcliffe|Jessica Brown Findlay|Andrew Scott|Charles Dance,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,Drama|Science Fiction|Thriller,london|frankenstein|human experiment|reanimated corpse|frankenstein's monster,109,2015-11-10,2015,40000000,36799983,34227298,31489100,408,5.5,1.138395,True
Ronaldo,Anthony Wonke,Cristiano Ronaldo,"On The Corner Films|We Came, We Saw, We Conquered Studios",Documentary,biography|soccer player,0,2015-11-09,2015,0,0,0,0,80,6.5,0.35765399999999997,True
Andron,Francesco Cinquemani,Alec Baldwin|Michelle Ryan|Danny Glover|Gale Harold|Leo Howard,Ambi Pictures,Action|Science Fiction,maze|labyrinth|claustrophobic,100,2015-11-08,2015,0,0,0,0,24,4.7,0.333656,True
One Soldier's Story: The Journey of American Sniper,Gary Leva,Bradley Cooper|Sienna Miller|Jason Hall|Clint Eastwood|Taya Kyle,,Romance|War|Documentary|Drama,,30,2015-11-07,2015,0,0,0,0,14,5.6,0.0522169999999999,False
The Hallow,Corin Hardy,Joseph Mawle|Bojana NovakoviÄ‡|Michael McElhatton|Gary Lydon|Stuart Graham,Prescience|Bord Scannan na hEireann / Irish Film Board|Fantastic Films|Altitude Film Entertainment|Occupant Entertainment,Fantasy|Horror,baby|fairy tale|tree|transformation|mill,97,2015-11-06,2015,0,0,0,0,122,4.9,0.719407,True
Cosmic Scrat-tastrophe,Mike Thurmeier|Galen T. Chu,Chris Wedge|Ray Romano|John Leguizamo|Denis Leary,Twentieth Century Fox Film Corporation|Blue Sky Studios,Science Fiction|Comedy|Animation|Family,,5,2015-11-06,2015,0,0,0,0,33,7.7,0.20849099999999998,False
Spotlight,Tom McCarthy,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,Drama|Thriller|History,child abuse|journalism|judge|florida|boston,128,2015-11-06,2015,20000000,18399991,88346473,81278719,1559,7.8,4.062293,True
Wrecker,Michael Bafaro,Anna Hutchison|Andrea Whitburn|Jennifer Koenig|Don Knodel|Michael Dickson,IW Wrecker Productions,Thriller|Action|Horror,,83,2015-11-06,2015,0,0,0,0,12,3.6,0.411416,False
Kill Your Friends,Owen Harris,Nicholas Hoult|Craig Roberts|Georgia King|Tom Riley|Jim Piddock,Altitude Film Entertainment|AI-Film|Unigram,Thriller|Comedy|Crime,magazine|music,100,2015-11-06,2015,0,0,0,0,54,5.5,0.438409,True
The Condemned 2,Roel ReinÃ©,Wes Studi|Steven Michael Quezada|Monique Candelaria|Dylan Kenin|Alex Knight,WWE Studios,Action,,90,2015-11-06,2015,0,0,0,0,13,4.0,0.270408,False
The Peanuts Movie,Steve Martino,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,Adventure|Animation|Comedy|Family,based on comic strip|family|3d|charlie brown|snoopy,88,2015-11-05,2015,99000000,91079959,246233113,226534364,414,6.4,2.140199,True
Lost in the Sun,Trey Nelson,Josh Duhamel|Josh Wiggins|Lynn Collins|Emma Fuhrmann|Larry Jack Dotson,,Action|Crime|Drama|Thriller,robbery,95,2015-11-05,2015,0,0,0,0,31,5.5,0.253157,False
Minions: The Competition,Kyle Balda|Julien Soret,Pierre Coffin|Chris Renaud,Illumination Entertainment,Animation,minions,4,2015-11-04,2015,0,0,0,0,16,5.9,0.344994,False
Brooklyn,John Crowley,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,Drama|Romance,love triangle|based on novel|homesickness|vororte|ship,111,2015-11-04,2015,11000000,10119995,62076141,57110024,754,7.3,3.227329,True
Frankenstein,Bernard Rose,Carrie-Anne Moss|Danny Huston|Xavier Samuel|Tony Todd,Eclectic pictures|Summerstorm Entertainment|Bad Badger,Horror|Thriller,frankenstein,89,2015-11-03,2015,0,0,0,0,14,4.5,0.473344,False
Riley's First Date?,Josh Cooley,Amy Poehler|Phyllis Smith|Bill Hader|Lewis Black|Mindy Kaling,Walt Disney Pictures|Pixar Animation Studios,Animation|Family,mother daughter relationship|rock music|girl|father daughter relationship|boyfriend,5,2015-11-03,2015,0,0,0,0,137,7.3,0.44283500000000003,False
Freaks of Nature,Robbie Pickering,Nicholas Braun|Mackenzie Davis|Ed Westwick|Vanessa Hudgens|Keegan-Michael Key,Columbia Pictures|Sony Pictures Entertainment,Science Fiction|Comedy|Horror,small town|vampire|alien|zombies|teenager,92,2015-10-30,2015,0,0,70958,65281,78,5.6,0.330968,True
Belli di papÃ ,Guido Chiesa,Diego Abatantuono|Matilde Gioli|Andrea Pisani|Antonio Catania|Nicola Nocella,,,,100,2015-10-29,2015,0,0,0,0,21,6.1,0.244648,False
400 Days,Matt Osterman,Caity Lotz|Brandon Routh|Tom Cavanagh|Dane Cook|Ben Feldman,New Artists Alliance,Mystery|Science Fiction|Thriller,spacecraft|experiment|simulation|space|astronaut,91,2015-10-29,2015,0,0,0,0,98,4.2,0.644786,True
The Audition,Martin Scorsese,Leonardo DiCaprio|Brad Pitt|Robert De Niro|Martin Scorsese|Rodrigo Prieto,RatPac Entertainment|Melco-Crown Entertainment (MCE),Comedy,casino,16,2015-10-27,2015,0,0,0,0,10,6.1,0.082569,False
Trumbo,Jay Roach,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,Drama,screenwriter|communist|biography|film history|hollywood,124,2015-10-27,2015,15000000,13799993,8235661,7576804,273,7.2,1.316239,False
Halo: The Fall of Reach,Ian Kirby,Steve Downes|Jen Taylor|Michelle Lukes|Travis Willingham|Brittany Uomoleale,343 Industries|The Sequence Group,Action|Animation|Science Fiction,video game|based on novel|space war|animation|halo,67,2015-10-27,2015,0,0,0,0,32,5.3,0.810667,False
Spectre,Sam Mendes,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Columbia Pictures|Danjaq|B24,Action|Adventure|Crime,spy|based on novel|secret agent|sequel|james bond,148,2015-10-26,2015,245000000,225399900,880674609,810220283,3254,6.2,6.200282,True
The Hollow,Sheldon Wilson,Stephanie Hunt|Sarah Dugdale|Alisha Newton|Hilary Jardine|Richard Harmon,Sonar Entertainment,Horror|TV Movie,monster|island|halloween|curse|storm,90,2015-10-24,2015,0,0,0,0,19,5.1,0.516954,False
The Unspoken,Sheldon Wilson,Jodelle Ferland|Sunny Suljic|Neal McDonough|Matt Bellefleur|Fulvio Cecere,Lighthouse Pictures|Sapphire Fire Limited,Thriller|Horror,,90,2015-10-24,2015,0,0,0,0,10,4.1,0.5327,False
Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,Comedy|Horror,female nudity|shotgun|nudity|strip club|party,93,2015-10-23,2015,15000000,13799993,14860766,13671898,288,6.2,1.499614,True
Remember,Atom Egoyan,Christopher Plummer|Martin Landau|Dean Norris|Henry Czerny|Bruno Ganz,Serendipity Point Films|Egoli Tossell Film AG,Drama|Thriller,,94,2015-10-23,2015,0,0,1986615,1827684,75,7.7,0.820691,True
I Smile Back,Adam Salky,Sarah Silverman|Josh Charles|Thomas Sadoski|Mia Barron|Terry Kinney,Egoli Tossell Film|Koppelman/Levien,Drama,,85,2015-10-23,2015,0,0,0,0,25,5.7,0.318459,False
Bone Tomahawk,S. Craig Zahler,Kurt Russell|Richard Jenkins|Matthew Fox|Lili Simmons|Sean Young,Caliber Media Company|The Fyzz Facility|Realbuilder Productions,Horror|Western|Adventure|Drama,poison|prisoner|murder|rifle|gore,132,2015-10-23,2015,1800000,1655999,0,0,220,6.3,1.0733489999999999,False
Extraordinary Tales,Raul Garcia,Christopher Lee|Bela Lugosi|Julian Sands|Guillermo del Toro|Roger Corman,Melusine Productions,Horror|Animation|Mystery,,73,2015-10-23,2015,0,0,0,0,11,5.4,0.170566,False
Io che amo solo te,Marco Ponti,Riccardo Scamarcio|Laura Chiatti|Michele Placido|Maria Pia Calzone|Luciana Littizzetto,Italian International Film|Rai Cinema,Romance|Comedy,,102,2015-10-22,2015,0,0,0,0,36,5.2,0.162465,True
Jem and the Holograms,Jon M. Chu,Aubrey Peeples|Stefanie Scott|Aurora Perrineau|Hayley Kiyoko|Barnaby Carpenter,Universal Pictures|Blumhouse Productions|Hasbro Studios|Allspark Pictures,Drama|Music|Adventure|Fantasy,secret identity|hologram|based on cartoon|based on tv series|rock band,119,2015-10-22,2015,5000000,4599997,2333684,2146988,69,5.7,0.43558199999999997,True
Rock the Kasbah,Barry Levinson,Bill Murray|Zooey Deschanel|Bruce Willis|Kate Hudson|Taylor Kinney,Shangri-La Entertainment|QED International|Dune Films|Venture Forth,Comedy|Music|War,jealousy|ex-boyfriend|afghanistan|record producer|last chance,100,2015-10-22,2015,15000000,13799993,3020664,2779009,56,5.1,0.6895789999999989,True
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,Paramount Pictures|Blumhouse Productions,Horror|Thriller,terror|supernatural|sequel|demon|found footage,88,2015-10-21,2015,10000000,9199995,78099553,71851557,267,5.0,1.338322,False
